onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
3.564	415.69899999999996	BlockDesign														1.0	1.0	21.0	50.0	0.0
3.564	7.834999999999999	trials	1.0	7.663030000000001	9.498046			6.798172000000001	9.486347000000002			2.0		0.0	2.0					
13.443	26.32	trials	1.0	36.658165000000004	38.742353	39.499996	39.747183	35.680011	38.969624			2.0	1.0	0.0	3.0					
42.848	14.310000000000002	trials	1.0	53.334947	54.584467000000004	55.502136	55.687221	52.679271	55.084003	56.033	57.158	2.0	1.0	1.0	1.0					
61.178	12.405000000000001	trials	1.0	70.553834	72.497116	73.335451	73.664141	70.005005	72.871046			2.0	1.0	0.0	3.0					
77.593	11.72099999999999	trials	1.0	86.794864	88.02376100000001	88.825102	89.412976	85.80683	88.41461			2.0	1.0	0.0	3.0					
91.148	33.30500000000001	trials	1.0	119.71418	121.650124	122.697404	122.907122	118.970872	122.191118	123.283	124.453	2.0	1.0	1.0	1.0					
126.545	6.103999999999999	trials	1.0	129.769205	131.135581	132.171449	132.75011999999998	128.80311799999998	131.648281			2.0	1.0	0.0	3.0					
135.419	13.47999999999999	trials	1.0	144.803921	146.551464	147.842875	148.16110400000002	144.10408	147.23098700000003			2.0	1.0	1.0	1.0					
153.493	40.25	trials	1.0	191.15856100000002	192.320264	193.436754	193.718707	190.244231	192.963994			2.0	1.0	0.0	3.0					
195.829	15.793999999999983	trials	1.0	207.523703	209.260967	210.002431	210.16960699999998	206.579722	209.55091199999998	210.623	211.623	2.0	1.0	1.0	1.0					
213.643	10.594999999999999	trials	1.0	219.75564100000003	221.24044600000002	222.289199	222.45194300000003	219.21126400000003	221.81228299999998	222.883	224.238	2.0	1.0	1.0	1.0					
227.329	13.712999999999994	trials	1.0	238.229192	239.844398	240.71045299999997	241.025147	237.306514	239.880691			2.0	1.0	0.0	3.0					
245.053	16.194999999999993	trials	1.0	257.81386	259.675933	260.718028	261.351843	257.281364	260.139081			2.0	2.0	0.0	3.0					
263.098	14.411000000000001	trials	1.0	274.38908399999997	276.389442	277.157044	277.606297	273.712251	276.751629			2.0	1.0	0.0	3.0					
280.443	13.625	trials	1.0	290.689131	292.39577299999996	293.37359	293.584853	290.15763599999997	292.82886099999996			2.0	1.0	0.0	3.0					
295.698	17.085000000000036	trials	1.0	308.69408699999997	310.29416	311.176974	311.31247099999996	307.815718	310.713478	311.888	312.783	2.0	1.0	1.0	1.0					
316.801	23.50200000000001	trials	1.0	337.469377	338.596121	339.907777	340.405325	336.959477	339.313603			2.0	2.0	0.0	3.0					
342.173	10.800000000000011	trials	1.0	350.130919	351.578066	352.656002	352.876693	349.18872999999996	352.097669			2.0	1.0	0.0	3.0					
356.054	17.045000000000016	trials	1.0	369.849466	371.897219	372.839027	373.125671	369.063667	372.31100799999996			2.0	2.0	0.0	3.0					
375.179	31.970000000000027	trials	1.0	403.585687	404.837537	406.894281	407.12474499999996	403.048096	406.368975			2.0	2.0	0.0	3.0					
410.158	9.104999999999961	trials	1.0	415.124084	416.73116899999997	418.143728	418.47225399999996	414.402183	417.39430999999996			2.0	1.0	1.0	1.0					
423.769	504.66499999999996	BlockDesign														1.0	22.0	42.0	0.0	50.0
423.769	21.05899999999997	trials	2.0	440.774529	442.03606099999996	442.954948	443.206679	439.864421	442.412332	443.643	444.828	3.0	2.0	1.0	1.0					
446.926	19.598000000000013	trials	2.0	463.711297	465.59160499999996	466.20268699999997	466.568378	462.737546	465.752397			3.0	2.0	0.0	3.0					
468.558	24.08499999999998	trials	2.0	488.239397	490.156178	490.964573	491.196553	487.422824	490.484519	491.503	492.643	3.0	2.0	1.0	1.0					
495.676	21.781999999999982	trials	2.0	514.6039940000001	516.364822	517.210826	517.488098	513.9595810000001	516.72973			3.0	2.0	0.0	3.0					
521.493	14.334999999999923	trials	2.0	531.586129	533.161226	534.078196	534.310691	530.930461	533.5651	534.633	535.828	3.0	2.0	1.0	1.0					
537.848	15.525000000000091	trials	2.0	551.010085	552.193535	553.0605290000001	553.25999	550.2383460000001	552.501112			3.0	2.0	0.0	3.0					
555.383	12.640999999999963	trials	2.0	564.954506	566.7978780000001	567.536003	568.126436	564.059384	567.0232460000001			3.0	2.0	0.0	3.0					
570.879	20.524	trials	2.0	587.7396570000001	588.8474120000001	589.692044	589.9669560000001	586.7843670000001	589.2248040000001	590.298	591.403	3.0	2.0	1.0	1.0					
595.479	16.868999999999915	trials	2.0	609.984989	611.2119110000001	612.037147	612.4330030000001	609.0163960000001	611.5139200000001			3.0	2.0	0.0	3.0					
614.288	30.61500000000001	trials	2.0	641.030083	642.241936	643.2303890000001	643.440271	640.4647610000001	642.728417	643.908	644.903	3.0	2.0	1.0	1.0					
648.008	29.84999999999991	trials	2.0	673.965449	675.463333	676.162892	676.4557070000001	673.043728	675.681233	676.818	677.858	3.0	2.0	1.0	1.0					
679.948	26.531000000000063	trials	2.0	703.3367840000001	704.572168	705.1432550000001	705.3437250000001	702.407089	704.5696370000001			3.0		0.0	2.0					
710.538	15.254999999999995	trials	2.0	722.9855570000001	724.751425	725.5449110000001	725.675782	722.1319550000001	724.9924870000001			3.0	2.0	0.0	3.0					
727.803	19.426000000000045	trials	2.0	742.6253780000001	744.5792150000001	745.257794	745.505672	741.618058	744.767182	736.868	747.229	3.0	2.0	1.0	1.0					
750.248	19.949999999999932	trials	2.0	766.1107800000001	767.810342	768.532409	768.765488	765.364001	767.997167	769.073	770.198	3.0	2.0	1.0	1.0					
772.215	18.293000000000006	trials	2.0	787.5957870000001	789.5061410000001	790.178486	790.596184	786.611879	789.75107			3.0	2.0	0.0	3.0					
792.488	25.139999999999986	trials	2.0	813.195505	814.7020520000001	815.875076	816.2700580000001	812.6885410000001	815.3558	816.533	817.628	3.0	2.0	1.0	1.0					
821.724	47.69399999999996	trials	2.0	864.9807020000001	866.928941	867.732556	867.986879	864.400691	867.237467	845.328	869.418	3.0	2.0	1.0	1.0					
871.526	19.377000000000066	trials	2.0	887.7124670000001	889.5725030000001	890.416817	891.010606	886.7609180000001	889.9768300000001			3.0	2.0	0.0	3.0					
893.693	13.430000000000064	trials	2.0	904.641295	905.81848	906.802942	907.046636	903.978521	906.2753630000001			3.0	2.0	0.0	3.0					
910.133	18.30099999999993	trials	2.0	925.825726	927.327665	928.3720940000001	928.8358380000001	925.28065	927.867826			3.0	2.0	0.0	3.0					
930.723	902.31	BlockDesign														1.0	43.0	84.0	50.0	50.0
930.723	12.785000000000082	trials	3.0	939.451046	941.1714310000001	941.8559600000001	942.0127520000001	938.761025	941.359271	942.628	943.508	2.0	1.0	1.0	1.0					
947.528	41.70100000000002	trials	3.0	986.6563160000001	987.763273	988.9258570000001	989.327986	986.046857	988.157963			2.0	1.0	0.0	3.0					
991.238	47.414999999999964	trials	3.0	1036.047929	1037.648509	1038.344696	1038.644864	1035.302263	1037.874154			3.0	1.0	0.0	3.0					
1041.663	20.319999999999936	trials	3.0	1059.3159110000001	1060.414238	1061.5984310000001	1062.078412	1058.373812	1061.124463			3.0	2.0	0.0	3.0					
1063.933	24.77500000000009	trials	3.0	1085.056925	1086.808045			1084.082118	1086.799673			2.0		0.0	2.0					
1092.718	10.980000000000018	trials	3.0	1101.116315	1102.389332	1103.419885	1103.8060520000001	1100.14643	1102.891001			2.0	1.0	0.0	3.0					
1106.678	23.329999999999927	trials	3.0	1125.68221	1127.599568	1128.271945	1128.5879380000001	1124.774237	1127.8346450000001	1128.939	1130.008	3.0	2.0	1.0	1.0					
1133.084	18.614000000000033	trials	3.0	1148.646886	1150.398779	1151.223688	1151.80229	1148.026012	1150.730695			3.0	2.0	0.0	3.0					
