onset	duration	nwb_table	block	tone_on_time	tone_off_time	action_on_time	action_off_time	pokeC_on_time	pokeC_off_time	reward_on_time	reward_off_time	state	action	reward	result	FinishedBlock	FirstTrial	LastTrial	RewardRule_L	RewardRule_R
2.672	393.823	BlockDesign														1.0	1.0	20.0	50.0	0.0
2.672	10.945	trials	1.0	11.256893	12.359084999999999	13.226225999999999	13.706199999999999	10.581748	12.723683999999999			2.0	1.0	0.0	3.0					
16.572	20.151	trials	1.0	34.09171	35.628768	36.426283	36.812439	33.201412	35.98599			2.0	1.0	0.0	3.0					
38.727	19.091	trials	1.0	54.586917	56.47884	57.429151	57.856218999999996	53.900472	56.748565			2.0	2.0	0.0	3.0					
61.747	20.016000000000005	trials	1.0	77.51859	79.116888	79.972063	80.121686	76.732946	79.457485	80.572	81.763	2.0	1.0	1.0	1.0					
83.783	10.448999999999998	trials	1.0	89.862448	91.44214	92.230025	92.515723	89.150937	91.715086	92.848	94.232	2.0	1.0	1.0	1.0					
96.322	7.609999999999999	trials	1.0	101.12710799999999	102.839424	103.552725	104.02212899999999	100.365048	103.05924399999999			2.0	1.0	0.0	3.0					
107.947	20.435000000000002	trials	1.0	124.112647	125.763316	126.435912	126.636175	123.205327	125.996416	127.053	128.382	2.0	1.0	1.0	1.0					
131.404	9.212999999999994	trials	1.0	137.857804	139.029765	140.02306	140.706181	137.082142	139.248288			2.0	1.0	0.0	3.0					
142.407	15.794999999999987	trials	1.0	155.032777	157.008387	157.90186	158.267383	154.303297	157.257139			2.0	2.0	0.0	3.0					
162.287	36.79999999999998	trials	1.0	195.987994	198.051327	198.780045	199.127968	195.435379	198.297604			2.0	1.0	0.0	3.0					
201.167	21.064999999999998	trials	1.0	219.332707	221.084332	221.906784	222.320419	218.529966	221.36637			2.0	1.0	0.0	3.0					
225.14	21.437000000000012	trials	1.0	242.323296	243.414991	244.634848	244.889257	241.648134	244.156947	245.292	246.577	2.0	1.0	1.0	1.0					
249.667	6.52000000000001	trials	1.0	253.648534	254.948758	255.959019	256.22139300000003	253.12873199999999	255.27570599999999			2.0	2.0	0.0	3.0					
258.197	25.714999999999975	trials	1.0	278.84282699999994	280.684158	282.047604	282.34237499999995	277.887827	281.05442400000004	282.742	283.912	2.0	1.0	1.0	1.0					
287.932	6.540999999999997	trials	1.0	291.83800299999996	292.94643900000005	293.861355	294.56284500000004	291.250633	293.349747			2.0	1.0	0.0	3.0					
296.102	17.65500000000003	trials	1.0	311.198172	312.57030999999995	313.508507	313.793173	310.49452899999994	312.96736			2.0	1.0	0.0	3.0					
315.767	27.0	trials	1.0	338.17775200000005	340.188537	340.925928	341.156201	337.49289899999997	340.45390299999997	341.592	342.767	2.0	1.0	1.0	1.0					
346.858	9.502999999999986	trials	1.0	353.833518	355.03014399999995	355.98358299999995	356.378826	353.178447	355.337486			2.0	1.0	0.0	3.0					
359.357	26.264999999999986	trials	1.0	380.998249	383.000184	383.79862	384.08134600000005	380.049478	383.32669899999996	384.267	385.622	2.0	1.0	1.0	1.0					
387.64	8.855000000000018	trials	1.0	393.91329099999996	395.696016	396.48598200000004	396.81863799999996	393.215323	395.954286			2.0	1.0	0.0	3.0					
398.804	547.298	BlockDesign														1.0	21.0	40.0	0.0	50.0
398.804	22.563000000000045	trials	2.0	417.048502	418.89991	419.74087399999996	420.00331200000005	416.16961000000003	419.177368	420.342	421.367	3.0	2.0	1.0	1.0					
425.432	11.58099999999996	trials	2.0	432.38821299999995	434.394729	435.34296700000004	435.593699	431.756763	434.71205499999996	435.922	437.013	3.0	2.0	1.0	1.0					
439.155	15.757000000000005	trials	2.0	451.83364500000005	453.730102	454.61313399999995	454.99345800000003	451.177416	453.99708999999996			3.0	2.0	0.0	3.0					
